Verified,Game Name,Series,Developer,Publisher,Date Published
No,Dead Island: Definitive Edition,Dead Island,Techland,Deep Silver,2016-05-31
No,Dead Island: Riptide,Dead Island,Techland,Deep Silver,2013-04-22
No,Dead Island: Riptide Definitive Edition,Dead Island,Techland,Deep Silver,2016-05-31
No,Dead Man's Hand,,Human Head Studios,Atari,2004-03-16
No,Deadlock 2: Shrine Wars,Deadlock,Cyberlore Studios,"Accolade, Night Dive Studios, Retroism",1998-02-01
No,Deadly Dozen: Pacific Theater,Deadly Dozen,N-Fusion Interactive,"Infogrames, Atari, Ziggurat Interactive",2002-11-11
No,Death Rally,Death Rally,Remedy Entertainment,"Apogee Software, 3D Realms",1996-09-06
No,Deathmatch Classic,,Valve Corporation,,2001-06-07
No,Deathpit 3000,,Cyberlamb Studios,,2017-12-01
No,Deathtrap Dungeon,,Asylum Studios,"Eidos Interactive, Square Enix, Sold Out Software",1998-06-25
No,Deep Black: Reloaded,,Biart,Strategy First,2012-03-01
No,DEFCON,DEFCON,Introversion Software,,2006-09-29
No,Delta Force,Delta Force,NovaLogic,"NovaLogic, THQ Nordic",1998-11-01
No,Delta Force 2,Delta Force,NovaLogic,"NovaLogic, THQ Nordic",1999-11-03
No,Delta Force: Black Hawk Down,Delta Force,"NovaLogic, Ritual Entertainment","NovaLogic, THQ Nordic",2003-03-24
No,Delta Force: Land Warrior,Delta Force,NovaLogic,"NovaLogic, THQ Nordic",2000-11-07
No,Delta Force: Xtreme,Delta Force,NovaLogic,"NovaLogic, THQ Nordic",2005-05-16
No,Demigod,,Gas Powered Games,"Stardock Entertainment, Atari",2009-04-14
No,Depth,,Digital Confectioners,,2014-11-03
No,Descent,Descent,Parallax Software,Interplay Entertainment,1995-03-17
No,Descent 3,Descent,Outrage Entertainment,"Interplay Entertainment, Sold Out Software",1999-06-17
No,Descent II,Descent,Parallax Software,Interplay Entertainment,1996-03-13
No,Descent: FreeSpace - The Great War,FreeSpace,Volition,Interplay Entertainment,1998-03-19
No,Destroyer Command,Silent Hunter,Ultimation,Ubisoft,2002-02-12
No,DethKarz,,Melbourne House,"GT Interactive, Infogrames, Edusoft, Piko Interactive, Ziggurat Interactive",1998-11-06
No,Deus Ex,Deus Ex,Ion Storm,"Eidos Interactive, Square Enix, Eidos-Montréal, Aspyr Media, Sold Out Software",2000-06-26
No,Deus Ex: Revision,Deus Ex,"Ion Storm, Caustic Creative",Caustic Creative,2015-10-13
No,Devastation,,"Digitalo Studios, ARUSH Entertainment","ARUSH Entertainment, Groove Games",2003-03-25
No,Diablo,Diablo,"Blizzard North, Synergistic Software",Blizzard Entertainment,1997-01-02
No,Diablo II,Diablo,Blizzard North,"Blizzard Entertainment, Capcom",2000-06-29
No,Diabotical,,The GD Studio,,2020-09-03
No,Die by the Sword,,Treyarch,Interplay Entertainment,1998-03-24
No,Digital Paintball Redux,,DPB Redux Dev Team,,2020-04-07
No,Din's Curse,Din,Soldak Entertainment,,2010-03-31
No,Din's Legacy,Din,Soldak Entertainment,,2019-08-28
No,Dino D-Day,,"800 North, Digital Ranch",,2011-04-08
No,DiRT 3,Colin McRae Rally,Codemasters,"Codemasters, Feral Interactive",2011-05-24
No,Disciples II: Dark Prophecy,Disciples,Strategy First,,2002-01-24
No,Disciples: Sacred Lands,Disciples,Strategy First,,1999-09-27
No,Distance,,Refract Studios,,2018-09-18
No,Divinity: Dragon Commander,Divinity,Larian Studios,,2013-08-06
No,Divinity: Original Sin,Divinity,Larian Studios,,Error: Too many #time calls.
No,Divinity: Original Sin - Enhanced Edition,Divinity,Larian Studios,,2015-10-27
No,Divinity: Original Sin II,Divinity,Larian Studios,,2017-09-14
No,Divinity: Original Sin II - Definitive Edition,Divinity,Larian Studios,,2018-08-31
No,Dog Fight,,Black Carbon,,2016-01-25
No,Dominion: Storm Over Gift 3,G-Nome,"Ion Storm, 7th Level",Eidos Interactive,1998-06-11
No,Dominions II: The Ascension Wars,Dominions,Illwinter Game Design,Shrapnel Games,2003-10-27
No,Don't Starve Together,Don't Starve,Klei Entertainment,,2016-04-21
No,Doom (1993),Doom,id Software,"GT Interactive, id Software",1993-12-10
No,Doom 3,Doom,"id Software, Splash Damage, Nerve Software","Activision, CYBERFRONT Corporation, Aspyr Media",2004-08-03
No,Doom II: Hell on Earth,Doom,id Software,GT Interactive,1994-10-10
No,Doom Rails,,Dream Forge Entertainment,,2009-11-04
No,Dragon Throne: Battle of Red Cliffs,Fate of the Dragon,Object Software,Strategy First,2001-11-24
No,Drakan: Order of the Flame,,Surreal Software,"Psygnosis, Imagineer",1999-07-14
No,Drox Operative,Drox Operative,Soldak Entertainment,,2012-11-29
No,Drox Operative 2,Drox Operative,Soldak Entertainment,,2021-10-20
No,Duck Game,,Landon Podbielski,Adult Swim Games,2015-06-04
No,Duke Nukem 3D,Duke Nukem,"3D Realms, Sunstorm Interactive, Simply Silly Software","GT Interactive, 3D Realms, Gearbox Publishing, MacSoft",1996-01-29
No,Duke Nukem 3D: Megaton Edition,Duke Nukem,"General Arcade, 3D Realms",Devolver Digital,2013-03-20
No,Dune 2000,Dune,"Intelligent Games, Westwood Studios","Virgin Interactive, Electronic Arts, Sold Out Software",1998-09-04
No,Dungeon Defenders,Dungeon Defenders,Trendy Entertainment,Reverb Publishing,2011-10-19
No,Dungeon Defenders: Awakened,Dungeon Defenders,Chromatic Games,,2020-05-28
No,Dungeon Keeper,Dungeon Keeper,Bullfrog Productions,Electronic Arts,1997-06-26
No,Dungeon Keeper 2,Dungeon Keeper,Bullfrog Productions,"Electronic Arts, Sold Out Software",1999-06-25
No,Dungeon Lords,,Heuristic Park,"DreamCatcher Interactive, Nordic Games",2005-05-05
No,Dungeon Siege,Dungeon Siege,Gas Powered Games,"Microsoft Game Studios, Square Enix, MacSoft",2002-04-05
No,Dungeon Siege II,Dungeon Siege,Gas Powered Games,"Microsoft Studios, 2K Games, Square Enix",2005-08-16
No,Dungeon Siege: Legends of Aranna,Dungeon Siege,"Gas Powered Games, Mad Doc Software","Microsoft Game Studios, Ubisoft",2003-11-11
No,Dungeons & Dragons: Dragonshard,Dungeons & Dragons,Liquid Entertainment,"Atari, Sold-Out Software, Hasbro",2005-09-25
No,Dusk,Dusk,David Szymanski,New Blood Interactive,2018-12-10
No,Dying Light,Dying Light,Techland,"Techland, Warner Bros. Interactive Entertainment",2015-01-27
No,DYSNOMIA,,2CCP,,2008-12-29
No,Dystopia,,Puny Human,,2005-09-10
No,E.Y.E: Divine Cybermancy,,Streum On Studio,,2011-07-29
No,Earth 2140,Earth,Reality Pump Studios,"TopWare Interactive, RuneSoft, RuneSoft, RuneSoft",1997-10-15
No,Earth 2150,Earth,Reality Pump Studios,"TopWare Interactive, Strategic Simulations Inc., Strategy First",2000-05-22
No,Earth 2160,Earth,Reality Pump Studios,"Zuxxez Entertainment, Deep Silver, Midway Games",2005-06-03
No,East India Company,,Nitro Games,Paradox Interactive,2009-07-31
No,Eastside Hockey Manager,Eastside Hockey Manager,Sports Interactive,Sega,2015-12-01
No,Echelon (2001),Echelon,Madia Entertainment,Buka Entertainment,2001-03-21
No,Echelon: Wind Warriors,Echelon,Madia Entertainment,"Buka Entertainment, ESDigital Games",2002-10-24
No,Eco,,Strange Loop Games,,
No,EF2000,,Digital Image Design,Ocean Software,1995-11-29
No,Elements of Destruction,,Frozen Codebase,"THQ, ValuSoft",2008-05-01
No,Elite Warriors: Vietnam,,N-Fusion Interactive,"Bold Games, Blue Label Entertainment, Retroism, Ziggurat Interactive",2006-03-25
No,Elven Legacy,Fantasy Wars,Ino-Co,"1C Company, 1C Entertainment, Fulqrum Publishing",2009-04-07
No,Embr,,Muse Games,Curve Digital,2021-09-23
No,Emergency 2017,Emergency,Sixteen Tons Entertainment,Ravenscourt,2016-10-27
No,Emergency 4: Global Fighters for Life,Emergency,Sixteen Tons Entertainment,Atari,2006-04-13
No,Emperor: Battle for Dune,Dune,"Westwood Studios, Intelligent Games",Electronic Arts,2001-06-12
No,Emperor: Rise of the Middle Kingdom,City Building (Sierra),"Impressions Games, BreakAway Games","Sierra Entertainment, Activision, Sold Out Software",2002-09-09
No,Empire Earth,Empire Earth,"Stainless Steel Studios, Mad Doc Software","Sierra Entertainment, Rebellion Developments, Sold Out Software",2001-11-12
No,Empire Earth II,Empire Earth,Mad Doc Software,"Sierra Entertainment, Rebellion Developments, Sold Out Software",2005-04-26
No,Empire Earth III,Empire Earth,Mad Doc Software,"Sierra Entertainment, Rebellion Developments, Sold Out Software",2007-11-06
No,Empire of the Ants,Empire of the Ants,Microïds,"Microïds, Strategy First, Sierra",2000-04-20
No,Empire: Total War,Total War,Creative Assembly,"Sega, Feral Interactive",2009-03-03
No,Empires,,Empires,,2006-03-04
No,Empires: Dawn of the Modern World,Empire Earth,Stainless Steel Studios,Activision,2003-10-21
No,Empyrion - Galactic Survival,,Eleon Game Studios,,2020-08-05
No,Enemy Engaged 2,Enemy Engaged,Gameyus Interactive,"G2 Games, Strategy First",2007-05-25
No,Enemy Engaged: Apache vs Havoc,Enemy Engaged,Razorworks,"Empire Interactive, Strategy First",1998-10-18
No,Enemy Engaged: RAH-66 Comanche versus Ka-52 Hokum,Enemy Engaged,Razorworks,"Empire Interactive, Strategy First, Feral Interactive",1999-03-26
No,Enemy Nations,,Windward Studios,Head Games Publishing,1996-01-01
No,Enemy Territory: Quake Wars,Quake,"Splash Damage, id Software","Activision, id Software",2007-09-28
No,Eon Altar,,Flying Helmet Games,,2016-06-22
No,Eradicator,,Accolade,"Retroism, Night Dive Studios",1996-09-30
No,EreaDrone Simulator,,"EreaDrone, Elouan Jorrand",EreaDrone,
No,Escape from Paradise City,,Sirius Games,"Cdv Software Entertainment, Brigades, Focus Home Interactive, Buka Entertainment",2007-10-26
No,Esoteria: Techno-Assassin of the Future,,Mobeus Designs Inc.,Kirin Entertainments Inc.,1998-04-16
No,Eternal War: Shadows of Light,,Two Guys Software,,2003-02-16
No,Etherlords,Etherlords,Nival Interactive,,2001-11-08
No,Etherlords II,Etherlords,Nival Interactive,,2004-06-17
No,EuroCops,,CrazyFoot Gamestudio B.V.,"CrazyFoot Gamestudio B.V., 1C Company",2005-01-01
No,Eurofighter Typhoon,,"Rage Software, Digital Image Design","Ubisoft, Sold Out Software, KISS ltd, Funbox Media",2001-05-04
No,Europa 1400: The Guild,The Guild,4 Head Studios,"JoWood Productions, Nordic Games, THQ Nordic",2002-10-25
No,Europa Universalis II,Europa Universalis,Paradox Development Studio,Paradox Interactive,2001-11-12
No,Europa Universalis III,Europa Universalis,Paradox Development Studio,Paradox Interactive,2007-01-23
No,Europa Universalis IV,Europa Universalis,"Paradox Development Studio, Paradox Tinto",Paradox Interactive,2013-08-13
No,European Air War,Air War,MicroProse,"MicroProse, Retroism",1998-11-05
No,Evil Islands: Curse of the Lost Soul,Rage of Mages,Nival Interactive,,2001-04-16
No,Evolva,,Computer Artworks,"Interplay Entertainment, Virgin Interactive, 1C Company",2000-06-01
No,Exodus from the Earth,,Parallax Arts Studio,Strategy First,2007-08-24
No,Extreme Assault,,Blue Byte Software,,1997-01-01
No,Extreme Paintbrawl,Extreme Paintbrawl,Creative Carnage,Head Games Publishing,1998-10-31
No,F-22: Air Dominance Fighter,F-22,"Digital Image Design, Simulation Technologies",Ocean Software,1997-01-01
No,F.E.A.R.,F.E.A.R.,"Monolith Productions, TimeGate Studios","Sierra Entertainment, Warner Bros. Interactive Entertainment",2005-10-18
No,F.E.A.R. 2: Project Origin,F.E.A.R.,Monolith Productions,Warner Bros. Interactive Entertainment,2009-02-10
No,F.E.A.R. Perseus Mandate,F.E.A.R.,TimeGate Studios,"Sierra Entertainment, Warner Bros. Interactive Entertainment",2007-11-06
No,F/A-18E Super Hornet,,Digital Integration,"Titus Interactive, Interplay Entertainment",2000-03-01
No,F1 2000,F1,Image Space Incorporated,EA Sports,2000-03-24
No,F1 2001,F1,Image Space Incorporated,EA Sports,2001-09-28
No,F1 2002,F1,Image Space Incorporated,EA Sports,2002-06-07
No,F1 2010,Formula 1,Codemasters Birmingham,Codemasters,2010-09-22
No,F1 2011,Formula 1,Codemasters Birmingham,Codemasters,2011-09-20
No,F1 2013,Formula 1,Codemasters Birmingham,"Codemasters, Feral Interactive",2013-10-04
No,F1 2015,Formula 1,Codemasters Birmingham,"Codemasters, Feral Interactive",2015-07-10
No,F1 2018,Formula 1,Codemasters Birmingham,Codemasters,2018-08-24
No,F1 2019,Formula 1,Codemasters Birmingham,Codemasters,2019-06-28
No,F1 2020,Formula 1,Codemasters Birmingham,Codemasters,2020-07-10
No,F1 2021,Formula 1,Codemasters,Electronic Arts,2021-07-16
No,F1 22,Formula 1,Codemasters,Electronic Arts,2022-07-01
No,F1 23,Formula 1,Codemasters,Electronic Arts,2023-06-16
No,F1 Challenge '99-'02,F1,Image Space Incorporated,EA Sports,2003-06-24
No,F1 Championship Season 2000,F1,Image Space Incorporated,EA Sports,2000-12-07
No,F1 Racing Championship,Racing Simulation,Ubisoft Paris,Ubisoft,2001-03-23
No,F1 Racing Simulation,Racing Simulation,Ubisoft,,1997-01-01
No,F29 Retaliator,,Digital Image Design,Ocean Software,1989-01-01
No,Factorio,,Wube Software,,2020-08-14
No,Fadeout: Underground,,Weston Mitchell,,2022-06-25
No,Falcon,Falcon,"Sphere, Inc.","Spectrum HoloByte, Retroism, MicroProse",1987-01-01
No,Falcon 3.0,Falcon,"Sphere, Inc.","Spectrum HoloByte, MicroProse, Retroism",1991-01-01
No,Falcon 4.0,Falcon,MicroProse,"MicroProse, Hasbro Interactive, MacSoft, Retroism, MicroProse",1998-12-11
No,Falcon 4.0: Allied Force,Falcon,"MicroProse, Lead Pursuit","Graphsim Entertainment, Horizon Simulation, Noviy Disk, Atari",2005-06-28
No,Fallen Haven: Liberation Day,Fallen Haven,Micomeq,"Interactive Magic, iEntertainment Network",1998-01-01
No,Fallout Tactics: Brotherhood of Steel,Fallout,Micro Forté,"Interplay Entertainment, Bethesda Softworks",2001-03-15
No,Fantastic Checkers 2,,EnsenaSoft,United Independent Entertainment,2016-08-18
No,Fantasy Bump,,Gigatross Games,,
No,Fantasy Grounds,,SmiteWorks USA,,2014-05-09
No,Fantasy Wars,Fantasy Wars,Ino-Co,"1C Company, 1C Entertainment, Fulqrum Publishing",2007-08-30
No,Far Cry,Far Cry,Crytek,"Ubisoft, Buka Entertainment",2004-03-23
No,Far Cry 2,Far Cry,Ubisoft Montreal,"Ubisoft, Buka Entertainment",2008-10-21
No,Farming Simulator 15,Farming Simulator,GIANTS Software,Focus Home Interactive,2014-10-30
No,Farming Simulator 16,Farming Simulator,GIANTS Software,,2015-08-10
No,Farming Simulator 17,Farming Simulator,GIANTS Software,Focus Home Interactive,2016-10-25
No,Farming Simulator 2013,Farming Simulator,GIANTS Software,Focus Home Interactive,2012-10-25
No,Fast & Furious: Spy Racers Rise of SH1FT3R,Fast & Furious,3DClouds,Outright Games,2021-11-05
No,Fastidious,,moxier games,,
No,Fatal Racing,,Gremlin Interactive,,1995-10-30
No,Fate of the Dragon,Fate of the Dragon,Object Software,Eidos Interactive,2000-12-21
No,Feel the Snow,,"Owlet, Beskr1l, Qame",Owlet,2019-12-12
No,FIFA 06,FIFA,EA Canada,Electronic Arts,2005-09-29
No,FIFA 07,FIFA,EA Canada,Electronic Arts,2006-09-25
No,FIFA 08,FIFA,EA Canada,EA Sports,2007-09-27
No,FIFA 09,FIFA,"HB Studios, EA Canada","EA Sports, Ak tronic Software & Services",2008-10-02
No,FIFA 10,FIFA,HB Studios,"EA Sports, Ak tronic Software & Services",2009-10-01
No,FIFA 11,FIFA,EA Canada,EA Sports,2010-09-30
No,FIFA 2000,FIFA,EA Canada,EA Sports,1999-10-26
No,FIFA 2001,FIFA,EA Canada,EA Sports,2000-11-08
No,FIFA 99,FIFA,EA Canada,EA Sports,1998-06-10
No,FIFA Football 2002,FIFA,EA Canada,EA Sports,2001-11-01
No,FIFA Football 2003,FIFA,"EA Canada, Intelligent Games",EA Sports,2002-11-05
No,FIFA Football 2004,FIFA,EA Canada,EA Sports,2003-10-31
No,FIFA Football 2005,FIFA,EA Canada,Electronic Arts,2004-10-08
No,FIFA: Road to World Cup 98,FIFA,EA Canada,EA Sports,1997-06-17
No,Fight Angel,,Red Fox Studio,,2019-08-28
No,Fight The Dragon,,3 Sprockets,,2014-12-04
No,Final Doom,Doom,"TeamTNT, Casali brothers, id Software",GT Interactive,1996-05-31
No,"Final Liberation: Warhammer Epic 40,000","Warhammer 40,000",Holistic Design,"Strategic Simulations Inc., GOG.com",1997-11-19
No,Final Rush,,"Strike Games, Digital Phoenix",,2014-11-21
No,FireStarter,,GSC Game World,Hip Games,2003-11-28
No,Fistful of Frags,,Fistful of Frags Team,,2014-05-09
No,FlatOut,FlatOut,Bugbear Entertainment,"Empire Interactive, Buka Entertainment, Vivendi Universal Games, FX Interactive, Ak tronic Software & Services, Techland, Strategy First",2004-11-05
No,FlatOut 2,FlatOut,Bugbear Entertainment,"Empire Interactive, Vivendi Universal Games, Buka Entertainment, CD Projekt, Techland, FX Interactive, Ak tronic Software & Services, Strategy First, Virtual Programming",2006-06-30
No,FlightGear Flight Simulator,FlightGear Flight Simulator,FlightGear.org developers & contributors,,2020-11-06
No,Football Manager 2006,Football Manager,Sports Interactive,Sega,2005-10-21
No,Football Manager 2007,Football Manager,Sports Interactive,Sega,2006-10-18
No,Football Manager 2008,Football Manager,Sports Interactive,Sega,2007-10-19
No,Football Manager 2009,Football Manager,Sports Interactive,Sega,2008-11-14
No,Football Manager 2010,Football Manager,Sports Interactive,Sega,2009-10-30
No,Football Manager 2011,Football Manager,Sports Interactive,"Sega, 1C-SoftClub",2010-11-05
No,Football Manager 2017,Football Manager,Sports Interactive,Sega,2016-11-04
No,Football Manager Touch 2017,Football Manager Touch,Sports Interactive,Sega,2016-11-04
No,Football Manager Touch 2018,Football Manager Touch,Sports Interactive,Sega,2017-11-10
No,Ford Racing 3,Ford Racing,Razorworks,"2K Games, Empire Interactive, Strategy First",2004-10-29
No,Forge Quest,,OpenRealms,,2015-05-22
No,Formula One Grand Prix,Grand Prix,MicroProse,,1992-01-01
No,Forsaken,Forsaken,Probe Entertainment,Acclaim Entertainment,1998-04-24
No,Fortress Forever,Team Fortress,Fortress Forever Development Team,,2007-09-13
No,FPS Chess,,Meta Fork,DigiPen Institute of Technology,2022-07-16
No,Fragile Allegiance,,"Gremlin Interactive, Cajji Software","Gremlin Interactive, Interplay Entertainment, Urbanscan, Alternative Software",1997-03-31
No,Fragmented,,Above and Beyond Technologies,,2017-08-15
No,FreakOut: Extreme Freeride,,Coldwood Interactive,"JoWood Productions, THQ Nordic",2007-08-28
No,Freeciv,Civilization,,,1996-01-05
No,Freedom Force vs. The 3rd Reich,Freedom Force,"Irrational Games, Irrational Games Australia","Irrational Games, 2K Games",2005-03-15
No,Freelancer,,Digital Anvil,Microsoft Game Studios,2003-03-04
No,FreeSpace 2,FreeSpace,Volition,Interplay Entertainment,1999-09-30
No,Frogger (1997),Frogger,SCE Studio Cambridge,Hasbro Interactive,1997-09-30
No,Frogger 2: Swampy's Revenge,Frogger,Blitz Games,Hasbro Interactive,2000-10-01
No,Frontlines: Fuel of War,,Kaos Studios,"THQ, THQ Nordic",2008-02-25
No,FSR: French Street Racing,Street Racing,Team6 Game Studios,City Interactive,2008-01-25
No,Fugitive Hunter: War on Terror,,Black Ops Entertainment,"Encore Software, Play It, Noviy Disk",2003-11-18
No,Full Spectrum Warrior: Ten Hammers,Full Spectrum Warrior,Pandemic Studios,"THQ, THQ Nordic",2006-04-04
No,Full Strength Strongman Competition,,Cat Daddy Games,Head Games Publishing,1999-12-01
No,Fur Fighters,,Bizarre Creations,Acclaim Entertainment,2000-11-10
No,Fur Fun,,"Dalas, Doky",Dalas Games,
No,Fury Strike,,Fury Strike Team,Incendiary Entertainment Division,2018-08-17
No,Future Cop: LAPD,,EA Redwood Shores,Electronic Arts,1998-11-25
No,FX Fighter Turbo,FX Fighter,Argonaut Games,GTE Entertainment,1996-11-05
No,G-Nome,G-Nome,7th Level,,1997-02-28
No,Galactic Assault: Prisoner of Power,,Wargaming,"Akella, Paradox Interactive, Virtual Programming",2007-08-22
No,Galcon Fusion,Galcon,"Hassey Enterprises, Inc.",,2010-02-11
No,Game Stock Car,Game Stock Car,Reiza Studios,NC Games,2011-07-22
No,Gang Garrison 2,,Faucet Software,,2008-01-01
No,Gangsters 2: Vendetta,Gangsters,Hothouse Creations,"Eidos Interactive, Sold Out Software",2001-06-01
No,Gangsters: Organized Crime,Gangsters,Hothouse Creations,"Eidos Interactive, Square Enix, Sold Out Software",1998-12-07
No,Garfield Kart,Garfield Kart,Artefacts Studio,Microids,2013-11-07
No,Garry's Mod,,Facepunch Studios,Valve Corporation,2004-12-24
No,Gary Grigsby's World at War: A World Divided,Gary Grigsby's,2by3 Games,"Matrix Games, Slitherine",2006-10-20
No,Gates of Hell,,Barbed Wire Studios,Best Way Soft,
No,GearGrinder,,Targem Games,"Headup Games, Buka Entertainment, Argenteens",2008-04-10
No,Gears 5,Gears of War,The Coalition,Xbox Game Studios,2019-09-10
No,Gears of War,Gears of War,Epic Games,Microsoft Game Studios,2007-11-06
No,Gears of War 4,Gears of War,"The Coalition, Splash Damage",Microsoft Studios,2016-10-11
No,Gears of War: Ultimate Edition,Gears of War,"The Coalition, Splash Damage, Lemon Sky Studios",Microsoft Studios,2016-03-01
No,Gene Troopers,,Cauldron,Playlogic Entertainment,2006-12-25
No,Get Medieval,,Monolith Productions,"Monolith Productions, Microids",1998-07-31
No,Giants: Citizen Kabuto,,Planet Moon Studios,"Interplay Entertainment, Sold Out Software",2000-12-07
No,Gimbal,,8888888 LABS,,2012-07-30
No,Global Operations,,Barking Dog Studios,"Crave Entertainment, Electronic Arts",2002-03-25
No,GoldenEye: Source,James Bond 007,GESHL2 Team,,2009-02-07
No,Gore: Ultimate Soldier,,"4D Rulers, Eyecon",DreamCatcher Interactive,2002-06-05
No,Gotcha! Extreme Paintball,,Sixteen Tons Entertainment,"Viva Media, Global Star Software, Gathering of Developers",2004-07-31
No,Grabity,,Team Ninja Thumbs,,2018-05-31
No,Grand Prix 2,Grand Prix,MicroProse,,1996-08-30
No,Grand Prix 3,Grand Prix,"MicroProse, Simergy",Hasbro Interactive,2000-07-28
No,Grand Prix 4,Grand Prix,"MicroProse, Simergy",Infogrames,2002-06-21
No,Grand Prix Legends,,Papyrus Design Group,"Sierra On-Line, Sold Out Software",1998-10-06
No,Grand Theft Auto,Grand Theft Auto,"DMA Design, Rockstar Canada","ASC Games, Take-Two Interactive, BMG Interactive, Rockstar Games",1997-10-21
No,Grand Theft Auto 2,Grand Theft Auto,DMA Design,"Rockstar Games, Buka Entertainment",1999-10-22
No,Greed: Black Border,,ClockStone,Headup Games,2009-12-10
No,Grey Goo,,Petroglyph Games,"Grey Box, Six Foot",2015-01-23
No,Grim Dawn,,Crate Entertainment,,2016-02-25
No,Ground Branch,,BlackFoot Studios,MicroProse,
No,Ground Control,Ground Control,"Massive Entertainment, High Voltage Software","Sierra Entertainment, Rebellion Developments",2000-06-01
No,Ground Control II: Operation Exodus,Ground Control,Massive Entertainment,"Sierra Entertainment, Rebellion Developments",2004-06-18
No,GT Legends,,"SimBin Studios, Blimey! Games","10tacle Studios, Viva Media",2005-10-15
No,GTR - FIA GT Racing Game,GTR - FIA GT Racing Game,SimBin Studios,10tacle Studios,2005-03-11
No,GTR 2 - FIA GT Racing Game,GTR - FIA GT Racing Game,"Blimey! Games, SimBin Studios","10tacle Studios, Viva Media",2006-09-29
No,Gumboy Tournament,Gumboy,Cinemax,,2008-05-19
No,Gun Rocket,,Space Wedgie,EQ Games,2015-04-21
No,Guncraft,,Exato Game Studios,Reverb Publishing,2013-07-11
No,Gunlok,,Rebellion Developments,"Virgin Interactive, Rebellion Developments",2000-12-08
No,Gunman Chronicles,,"Rewolf Software, Valve Corporation",Sierra On-Line,2000-11-21
No,Haegemonia: Legions of Iron,Haegemonia,Digital Reality,Anuman Interactive,2002-11-14
No,Haegemonia: The Solon Heritage,Haegemonia,Digital Reality,Anuman Interactive,2003-10-28
No,Half-Life,Half-Life,Valve Corporation,"Sierra On-Line, Valve Corporation, Buka Entertainment, Brasoft",1998-11-19
No,Half-Life 2: Deathmatch,Half-Life,Valve Corporation,,2004-11-30
No,Half-Life Deathmatch: Source,Half-Life,Valve Corporation,,2006-05-01
No,Half-Life: Decay,Half-Life mods and fangames,"Gearbox Software, Valve Corporation",,2008-09-22
No,Half-Life: Opposing Force,Half-Life,Gearbox Software,"Sierra On-Line, Valve Corporation, Buka Entertainment",1999-11-19
No,Halo 2,Halo,"Bungie, Pi Studios",Microsoft Game Studios,2007-05-17
No,Halo 2: Anniversary,Halo: The Master Chief Collection,"343 Industries, Bungie",Xbox Game Studios,2020-05-12
No,Halo 3,Halo: The Master Chief Collection,"343 Industries, Bungie",Xbox Game Studios,2020-07-14
No,Halo 3: ODST,Halo: The Master Chief Collection,"343 Industries, Bungie",Xbox Game Studios,2020-09-22
No,Halo 4,Halo: The Master Chief Collection,343 Industries,Xbox Game Studios,2020-11-17
No,Halo Infinite,Halo,"343 Industries, SkyBox Labs, Sperasoft, The Coalition, Certain Affinity, Atomhawk",Xbox Game Studios,2021-12-08
No,Halo Online,Halo,"343 Industries, Saber Interactive","Microsoft Studios, Innova Systems",2015-01-01
No,Halo: Combat Evolved,Halo,Bungie,"Microsoft Game Studios, MacSoft",2003-09-30
No,Halo: Combat Evolved Anniversary,Halo: The Master Chief Collection,"343 Industries, Bungie",Xbox Game Studios,2020-03-03
No,Halo: Reach,Halo: The Master Chief Collection,"343 Industries, Bungie",Xbox Game Studios,2019-12-03
No,Halo: The Master Chief Collection,Halo,"343 Industries, Bungie",Xbox Game Studios,2019-12-03
No,Hammer of the Gods,,Holistic Design,"New World Computing, Softgold Computerspiele, Holistic Design",1994-01-01
No,Hammerwatch,Hammerwatch,Crackshell,,2013-08-12
No,Hard Truck 2,Hard Truck,SoftLab-NSK,"1C Company, 1C Entertainment, Fulqrum Publishing, ValuSoft, JoWood Productions",2000-06-19
No,Hard-Life,Half-Life mods and fangames,"Fury_161, JonnyQuattro, Half Way Lambda",,
No,Hardwar,,"The Software Refinery, Jordan Freeman Group","Interplay Entertainment, Gremlin Interactive, Funbox Media, Jordan Freeman Group",1998-09-11
No,Hearts of Iron II,Hearts of Iron,Paradox Development Studio,Paradox Interactive,2005-01-04
No,Hearts of Iron III,Hearts of Iron,Paradox Development Studio,Paradox Interactive,2009-08-07
No,Hearts of Iron IV,Hearts of Iron,Paradox Development Studio,Paradox Interactive,2016-06-06
No,Heavy Gear,Heavy Gear,Activision,,1997-11-25
No,Heavy Gear II,Heavy Gear,Activision,Activision,1999-06-18
No,Hedgewars,,Hedgewars Team,,2019-10-09
No,Hellbender,Fury3,Terminal Reality,Microsoft,1996-10-03
No,Heretic,Heretic,Raven Software,"id Software, GT Interactive",1994-12-23
No,Heretic II,Heretic,Raven Software,Activision,1998-11-24
No,Heroes of Annihilated Empires,,GSC Game World,,2006-10-05
No,Heroes of Might and Magic II,Heroes of Might and Magic,"New World Computing, Cyberlore Studios","3DO, Ubisoft, Sold Out Software",1996-10-01
No,Heroes of Might and Magic III,Heroes of Might and Magic,New World Computing,"3DO, Ubisoft, Sold Out Software, Loki Software",1999-03-03
No,Heroes of Might and Magic IV,Heroes of Might and Magic,New World Computing,"3DO, Ubisoft, Sold Out Software",2002-03-28
No,Heroes of Might and Magic V,Heroes of Might and Magic,Nival Interactive,Ubisoft,2006-05-16
No,Heroes of Might and Magic V: Tribes of the East,Heroes of Might and Magic,Nival,Ubisoft,2007-10-16
