Verified,Game Name,Series,Developer,Publisher,Date Published
No,Counter-Strike,Counter-Strike,"Valve Corporation, Barking Dog Studios","Sierra Studios, Valve Corporation",2000-11-09
No,Counter-Strike: Condition Zero,Counter-Strike,"Valve Corporation, Gearbox Software, Ritual Entertainment, Turtle Rock Studios","Sierra Entertainment, Valve Corporation, Capcom",2004-03-24
No,Counter-Strike: Source,Counter-Strike,"Valve Corporation, Turtle Rock Studios, Hidden Path Entertainment","Valve Corporation, Buka Entertainment",2004-10-07
No,Craftopia,,Pocketpair,,
No,Crashday,Crashday,"Moonbyte Games, Replay Studios",Atari,2006-02-23
No,Crime Cities,,Techland,"Eon Digital Entertainment, 1C Company",2000-01-15
No,Crimson Skies,,Zipper Interactive,Microsoft,2000-09-17
No,Cross Racing Championship 2005,,Invictus Games,"Project Three Interactive, Graphsim Entertainment, Invictus Games",2005-06-03
No,Crossy Road Castle,Crossy Road,Hipster Whale,,2020-02-27
No,Crusader Kings II,Crusader Kings,Paradox Development Studio,Paradox Interactive,2012-02-14
No,Crusaders: Thy Kingdom Come,,NeocoreGames,Paradox Interactive,2009-10-08
No,Cry of Fear,,Team Psykskallar,,2013-04-23
No,Crysis,Crysis,Crytek,Electronic Arts,2007-11-13
No,Crysis Warhead,Crysis,Crytek Budapest,Electronic Arts,2008-09-17
No,CS2D,,Unreal Software,,2004-12-24
No,Cube,Cube,Wouter van Oortmerssen,,2001-12-01
No,Cube 2: Sauerbraten,Cube,"Wouter van Oortmerssen, Lee Salzman, Mike Dysart, Robert Pointon, Quinton Reeves, Dot3 Labs",,2004-05-06
No,Cube Racer,,Simon Blasen,,2017-10-30
No,Cube Universe,,Beosar UG (haftungsbeschränkt),,
No,Cube World,,Picroma,,2019-09-30
No,Cultures 2: The Gates of Asgard,Cultures,Funatics Development,"JoWood Productions, Russobit-M, Kalypso Media",2002-07-12
No,Cyberpong,,Colopl NI,,2016-04-28
No,Cycling Manager,Cycling Manager,Cyanide,,2001-01-01
No,Cycling Manager 2,Cycling Manager,Cyanide,Focus Home Interactive,2002-11-04
No,Cycling Manager 3,Cycling Manager,Cyanide,"GMX Media, Akella",2003-06-01
No,Cycling Manager 4,Cycling Manager,Cyanide,Focus Home Interactive,2004-06-25
No,D-Day,,Digital Reality,"O~3 Entertainment, Monte Cristo, Digital Jesters, Global Software Publishing, 1C Company, Nival Interactive",2004-07-06
No,D.O.R.F. Real-Time Strategic Conflict,,DORFteam,,
No,Daikatana,,Ion Storm,"Eidos Interactive, Square Enix",2000-05-22
No,Dakar 18,Dakar Rally,Bigmoon Entertainment,Deep Silver,2018-09-25
No,Damage Incorporated,,Paranoid Productions,"MacSoft, WizardWorks",1997-01-01
No,Damnation,,Blue Omega Entertainment,Codemasters,2009-05-22
No,Dark and Light,,Snail Games,,
No,Dark Colony,,Take-Two Interactive Canada,"Strategic Simulations, Inc., Take-Two Interactive, Sold Out Software",1997-09-01
No,Dark Messiah of Might and Magic,Might and Magic,"Arkane Studios, Floodgate Entertainment, Kuju Entertainment",Ubisoft,2006-10-24
No,Dark Reign 2,Dark Reign,Pandemic Studios,Activision,2000-07-03
No,Dark Reign: The Future of War,Dark Reign,Auran,Activision,1997-09-01
No,Dark Sector,,Digital Extremes,"Aspyr Media, Noviy Disk, City Interactive",2009-03-23
No,Darkstone,,Delphine Software International,"Gathering of Developers, VectorCell, Anuman Interactive",1999-07-27
No,Dawn of Magic,Dawn of Magic,SkyFallen Entertainment,"1C Company, Deep Silver",2005-12-16
No,Dawn of Magic 2,Dawn of Magic,SkyFallen Entertainment,"1C Company, 1C Entertainment, Fulqrum Publishing, Kalypso Media",2009-09-08
No,Day of Defeat,Day of Defeat,Valve Corporation,"Activision, Valve Corporation",2003-05-01
No,Day of Defeat: Source,Day of Defeat,Valve Corporation,,2005-09-26
No,Day of Infamy,,New World Interactive,,2017-03-23
No,Daytona USA: Deluxe,Daytona,Sega AM2,Sega,1997-11-01
No,DayZ,DayZ,Bohemia Interactive,,2018-12-13
No,DDraceNetwork,,DDNet Team,,2020-08-17
No,Dead Island,Dead Island,Techland,Deep Silver,2011-09-06
