Game Name,Series,Developer,Publisher,Date Published
Arcanum: Of Steamworks & Magick Obscura,,Troika Games,"Sierra Entertainment, Activision",2001-08-21
Archeblade,,CodeBrush,,2014-04-25
Arcomage,Might and Magic,"New World Computing, Stick Man Games",3DO,1999-02-01
ARK Park,ARK,Snail Games,,2018-03-22
ARK: Survival Evolved,ARK,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement, Abstraction Games",Studio Wildcard,2017-08-29
Arma 2,Arma,Bohemia Interactive,"505 Games, Got Game Entertainment",2009-06-17
Arma 3,Arma,Bohemia Interactive,Bohemia Interactive,2013-09-12
Arma: Armed Assault,Arma,"Bohemia Interactive, Black Element Software","505 Games, Atari",2006-11-10
Arma: Cold War Assault,"Arma, Operation Flashpoint",Bohemia Interactive,Codemasters,2001-06-22
Armies of Exigo,,Black Hole Entertainment,"Electronic Arts, City Interactive, Noviy Disk",2004-11-30
Army Men,Army Men,3DO,"3DO, Sold Out Software, 2K Games",1998-05-01
Army Men II,Army Men,3DO,"3DO, Sold Out Software, 2K Games",1999-03-23
Army Men: RTS,Army Men,Pandemic Studios,"3DO, 2K Games",2002-03-24
Army Men: World War,Army Men,3DO,"3DO, Sold Out Software, 2K Games",2000-03-06
AssaultCube,,Rabid Viper Productions,,2008-11-21
Assetto Corsa,Assetto Corsa,Kunos Simulazioni,,2014-12-19
Assetto Corsa Competizione,Assetto Corsa,"Kunos Simulazioni, D3T",505 Games,2019-05-29
Automobilista,Automobilista,Reiza Studios,,2016-02-29
Avorion,,Boxelware,,2020-03-09
AX:EL - Air XenoDawn,,Alex Piola,KISS ltd,2015-12-04
Axis & Allies (2004),Axis & Allies,TimeGate Studios,Atari,2004-11-02
Backpacker 3,Backpacker,"Pan Vision, TATI Mixedia",Aniware AB,2003-10-24
Backyard Football 2002,Backyard Football,Humongous Entertainment,Infogrames,2001-09-19
Baku Baku,,Sega AM3,Sega,1996-09-09
Baldur's Gate,Baldur's Gate,"BioWare, Black Isle Studios","Interplay Entertainment, Sega, Atari, Beamdog, MacPlay",1998-12-21
Baldur's Gate 3,Baldur's Gate,Larian Studios,,
Baldur's Gate II: Enhanced Edition,Baldur's Gate,Overhaul Games,Beamdog,2013-11-15
Baldur's Gate II: Shadows of Amn,Baldur's Gate,"BioWare, Black Isle Studios","Interplay Entertainment, Sega, Atari, Beamdog, MacPlay, MacPlay",2000-09-24
Baldur's Gate: Enhanced Edition,Baldur's Gate,Overhaul Games,Beamdog,2012-11-28
Ball 3D: Soccer Online,Soccer Online,Unusualsoft,,2017-03-31
BallisticNG,,Neognosis,,2018-12-14
Ballistics,,GRIN,"Xicat Interactive, Linux Game Publishing",2001-10-19
Barony,,Turning Wheel LLC,,2015-06-23
Barotrauma,,"Undertow Games, FakeFish",Daedalic Entertainment,2023-03-13
Base Defense,Half-Life mods and fangames,PLut,,2017-11-20
Battalion 1944,,Bulkhead Interactive,Square Enix,2019-05-23
Battle Arena Toshinden,Battle Arena Toshinden,Tamsoft,Playmates Interactive Entertainment,1996-01-01
Battle Beast,,7th Level,BMG Interactive,1995-01-01
Battle Isle 3,Battle Isle,Blue Byte Software,"Blue Byte Software, Ubisoft",1995-01-01
Battle Isle: The Andosia War,Battle Isle,"Blue Byte Software, Cauldron","Blue Byte Software, Ubisoft",2000-11-24
Battle vs. Chess,,Targem Games,TopWare Interactive,2011-05-17
Battlefield 1942,Battlefield,DICE,Electronic Arts,2002-09-10
Battlefield 2,Battlefield,"DICE, DICE Canada",Electronic Arts,2005-06-21
Battlefield 2142,Battlefield,DICE,Electronic Arts,2006-10-17
Battlefield Vietnam,Battlefield,DICE Canada,Electronic Arts,2004-03-14
Battleship: Surface Thunder,Battleship,Meyer/Glass Interactive,Hasbro Interactive,2000-09-12
Battlestar Galactica,Battlestar Galactica,Auran,Sierra On-Line,2007-10-23
Battlestations: Midway,Battlestations,Eidos Hungary,"Eidos Interactive, Feral Interactive",2007-01-30
Battlestations: Pacific,Battlestations,Eidos Hungary,"Eidos Interactive, Warner Bros. Interactive Entertainment, Square Enix, Feral Interactive",2009-05-12
Battlezone,Battlezone,Activision,,1998-03-11
Beast Wars: Transformers,Transformers,SCE Cambridge Studio,Hasbro Interactive,1998-05-31
Beijing 2008,Summer Olympics,Eurocom,Sega,2008-07-08
Besiege,,Spiderling Studios,,2020-02-18
Bet on Soldier: Blood Sport,Bet on Soldier,Kylotonn,Microids,2005-09-26
Big Scale Racing,,BumbleBeast,"HD Publishing, Summitsoft Entertainment",2002-08-18
Bionic Commando (2009),Bionic Commando,GRIN,"Capcom, 1C Company",2009-07-28
Birthright: The Gorgon's Alliance,,Synergistic Software,Sierra,1996-01-01
Black & White,Black & White,Lionhead Studios,"Electronic Arts, Sold-Out Software, Feral Interactive",2001-03-25
Black Ice,,Super Duper Garrett Cooper,,
Black Mesa,Half-Life mods and fangames,Crowbar Collective,,2020-03-06
Blackwake,,Mastfire Studios,,2020-02-19
BlastZone 2,,Matt Edzenga,Black Shell Media,2015-02-19
Blazing Angels 2: Secret Missions of WWII,Blazing Angels,Ubisoft Romania,Ubisoft,2007-09-07
Blazing Angels: Squadrons of WWII,Blazing Angels,Ubisoft Romania,Ubisoft,2006-03-28
Blitzkrieg,Blitzkrieg,"Nival, La Plata Studios, General Arcade","1C Company, Cdv Software Entertainment",2003-06-04
Blitzkrieg 2,Blitzkrieg,Nival,,2005-10-02
Blockland,,"Eric Hartman, Ben Garney",Step 1 Games,2007-02-24
Blood,Blood,"Monolith Productions, Sunstorm Interactive","GT Interactive, Infogrames, Atari",1997-05-31
Blood & Magic,Dungeons & Dragons,Tachyon Studios,Interplay Entertainment,1996-01-01
Blood Bowl (2009),Blood Bowl,Cyanide,Focus Home Interactive,2009-06-26
Blood Bowl: Chaos Edition,Blood Bowl,Cyanide,Focus Home Interactive,2012-10-11
Blood II: The Chosen,Blood,Monolith Productions,"GT Interactive, Infogrames, Atari",1998-11-25
Blood: Fresh Supply,Blood,"Monolith Productions, Sunstorm Interactive, Night Dive Studios","Night Dive Studios, Atari",2019-05-09
Bloodlines of Prima,,Amazastrophic,,
Bloody Good Time,,Outerlight,Ubisoft,2010-10-29
Bloons TD 6,Bloons Tower Defense,Ninja Kiwi,,2018-12-17
Bloons TD Battles 2,Bloons Tower Defense,Ninja Kiwi,,2021-11-30
Blur,,Bizarre Creations,Activision,2010-05-25
BMW M3 Challenge,,Blimey! Games,"10tacle Studios, BMW AG",2007-09-11
Borderlands,Borderlands,"Gearbox Software, Demiurge Studios, Shadows in Darkness, Darkside Games","2K Games, Feral Interactive",2009-10-26
Borderlands 2,Borderlands,Gearbox Software,"2K Games, Aspyr Media",2012-09-18
Borderlands 3,Borderlands,Gearbox Software,2K Games,2019-09-13
Borderlands: The Pre-Sequel,Borderlands,"2K Australia, Gearbox Software","2K Games, Aspyr Media",2014-10-14
Boss Rally,,Boss Game Studios,SouthPeak Interactive,1999-04-30
Boundel,,Eren Aydın,,
Bowl VR,,Carbon Fiber Games,,2016-06-24
BrainBread 2,BrainBread,Reperio Studios,,2022-03-09
Bravery & Greed,,Rekka Games,Team17,2022-11-15
Breach (2011),,Atomic Games,,2011-01-26
Breed,,Brat Designs Ltd.,Cdv Software Entertainment,2004-03-19
Brickadia,,"Brickadia, LLC",,
Broke Protocol,,Cylinder Studios,,
Brothers in Arms: Hell's Highway,Brothers in Arms,Gearbox Software,Ubisoft,2008-10-07
Brothers in Arms: Road to Hill 30,Brothers in Arms,Gearbox Software,"Ubisoft, Feral Interactive",2005-03-15
Bus Simulator 18,Bus Simulator,stillalive studios,astragon Entertainment,2018-06-13
Cabela's Big Game Hunter 2005 Adventures,Cabela's Big Game Hunter,Fun Labs,Activision Value,2004-09-06
Call of Duty,Call of Duty,"Infinity Ward, Gray Matter Interactive, Pi Studios","Activision, Aspyr Media",2003-10-29
Call of Duty 2,Call of Duty,Infinity Ward,"Activision, Aspyr Media",2005-10-25
Call of Duty 4: Modern Warfare,Call of Duty: Modern Warfare,Infinity Ward,"Activision, Aspyr Media, Noviy Disk",2007-11-05
Call of Duty: Black Ops III,Call of Duty: Black Ops,Treyarch,Activision,2015-11-06
Call of Duty: World at War,Call of Duty: Black Ops,"Treyarch, Arkane Studios, Certain Affinity, Pi Studios","Activision, Noviy Disk",2008-11-11
Call of Duty: WWII,Call of Duty,"Sledgehammer Games, Raven Software",Activision,2017-11-03
Call of Juarez,Call of Juarez,Techland,"Ubisoft, Focus Home Interactive",2006-09-05
Call of Juarez: Bound in Blood,Call of Juarez,Techland,Ubisoft,2009-06-30
Call to Arms,,Digitalmindsoft,,2018-04-27
Call to Power II,Call to Power,"Activision, Mad Doc Software",,2000-11-15
Caller's Bane,,Mojang,,2014-12-11
Capitalism II,Capitalism,Enlight Software,Ubisoft,2001-12-17
CapRiders: Euro Soccer,,3GoGames,,
Capsular,,Gunschlinger,,2019-07-25
Carmageddon,Carmageddon,Stainless Games,"SCi Games, Sales Curve Interactive, Interplay Entertainment, Brasoft, Aspyr Media, Stainless Games, THQ Nordic",1997-06-30
Carmageddon II: Carpocalypse Now,Carmageddon,Stainless Games,"Sales Curve Interactive, Virgin Interactive, Interplay Entertainment, Sold Out Software, GT Interactive, Stainless Games, THQ Nordic",1998-12-10
Carmageddon TDR 2000,Carmageddon,Torus Games,"Sales Curve Interactive, Xicat Interactive, Sold Out Software, Stainless Games, THQ Nordic",2000-09-01
Carmageddon: Max Damage,Carmageddon,Stainless Games,"Stainless Games, THQ Nordic",2016-10-27
Carnivores: Cityscape,Carnivores,Sunstorm Interactive,Infogrames,2002-03-28
CART Precision Racing,,Terminal Reality,Microsoft,1997-11-20
Castle Strike,,Related Designs,"Data Becker, Russobit-M, Witt Interactive Software, Phoenix Global Software Ltd.",2004-01-07
Catan: Die Erste Insel,The Settlers of Catan,Funatics Software,Ravensburger Interactive Media GmbH,1999-01-01
Celestial Command,,"Romenics, Artaani, Riya",Romenics,
Cellfactor: Revolution,Cellfactor,"Artificial Studios, Inc., Timeline Interactive, Immersion Software & Graphics Ltda.","AGEIA Technologies, Inc.",2007-05-08
Celtic Kings: Rage of War,Imperivm,Haemimont Games,"Wanadoo, Sold Out Software, Haemimont Games, Virtual Programming, MacPlay",2002-08-27
Championship Manager 3,Championship Manager,Sports Interactive,"Eidos Interactive, Sold Out Software",1999-03-26
Championship Manager 4,Championship Manager,Sports Interactive,Eidos Interactive,2003-03-28
Championship Manager: Season 00/01,Championship Manager,Sports Interactive,"Eidos Interactive, Sold Out Software",2000-10-27
Championship Manager: Season 01/02,Championship Manager,Sports Interactive,"Eidos Interactive, Sold Out Software",2001-10-12
Championship Manager: Season 03/04,Championship Manager,Sports Interactive,Eidos Interactive,2003-11-21
Championship Manager: Season 99/00,Championship Manager,Sports Interactive,"Eidos Interactive, Sold Out Software",1999-12-03
Chaos Overlords,,Stick Man Games,"New World Computing, Evolution Interactive",1996-04-30
Chaser,,Cauldron,"JoWood Productions, Nordic Games, THQ Nordic",2003-06-27
Chessmaster 10th Edition,Chessmaster,Ubisoft,,2004-08-12
Chessmaster: Grandmaster Edition,Chessmaster,Ubisoft Bucharest,Ubisoft,2007-10-19
Chicken Invaders 3,Chicken Invaders,InterAction Studios,,2006-11-11
Chicken Invaders 4,Chicken Invaders,InterAction Studios,,2014-06-06
Chicken Invaders 5,Chicken Invaders,InterAction Studios,,2015-03-13
Chivalry: Medieval Warfare,Chivalry,Torn Banner Studios,,2012-10-16
Chris Sawyer's Locomotion,Transport Tycoon,Chris Sawyer,"Atari, Sold Out Software",2004-09-07
Chrome,Chrome,Techland,"Techland, Gathering of Developers, 1C Company, Strategy First, Meridian4",2003-06-16
Chrome SpecForce,Chrome,Techland,Meridian4,2005-08-19
Citadel: Forged with Fire,,"Blue Isle Studios, Virtual Basement, Abstraction",Blue Isle Studios,2019-11-01
Civilization II: Test of Time,Civilization,MicroProse,"MicroProse, Hasbro Interactive, 2K Games",1999-07-28
Civilization: Call to Power,Call to Power,Activision,"Activision, MacSoft",1999-04-05
Clans,,Computerhouse,Strategy First,1999-08-11
Clone Hero,,Clone Hero Team,,2022-11-29
Close Combat,Close Combat,Atomic Games,"Microsoft, Slitherine",1996-07-01
Close Combat III: The Russian Front,Close Combat,Atomic Games,"Microsoft, Slitherine",1999-01-15
Close Combat: A Bridge Too Far,Close Combat,Atomic Games,"Microsoft, Slitherine",1997-09-01
Close Combat: Cross of Iron,Close Combat,CSO Simtek,Slitherine,2007-02-12
Close Combat: First to Fight,Close Combat,Destineer,2K Games,2005-04-18
Close Combat: Invasion Normandy,Close Combat,Atomic Games,"Strategic Simulations, Inc., Slitherine",2000-10-10
Close Combat: The Battle of the Bulge,Close Combat,Atomic Games,"Strategic Simulations, Inc., Slitherine",1999-11-30
Close Quarters Conflict,,Zombie Studios,"City Interactive, Groove Games, 1C Company",2005-03-20
Clue: Murder at Boddy Mansion,Clue (Cluedo),Engineering Animation Inc.,Hasbro Interactive,1998-09-01
Code of Honor 2: Conspiracy Island,Code of Honor,City Interactive,,2008-08-19
Codename CURE,,Hoobalugalar_X,,2017-10-31
Codename: Outbreak,,GSC Game World,Virgin Interactive,2001-10-08
Codename: Panzers - Cold War,Codename: Panzers,"InnoGlow, StormRegion","Atari, Nordic Games",2009-03-10
Codename: Panzers - Phase One,Codename: Panzers,StormRegion,"Cdv Software Entertainment, Nordic Games",2004-06-16
Codename: Panzers - Phase Two,Codename: Panzers,StormRegion,"Cdv Software Entertainment, Nordic Games",2005-07-25
Colin McRae Rally 04,Colin McRae Rally,Codemasters,"Codemasters, CD Projekt, FX Interactive, Sold Out Software",2004-04-02
Colin McRae Rally 2.0,Colin McRae Rally,Codemasters,"Codemasters, Sold Out Software, Buka Entertainment",2000-12-05
Colin McRae Rally 2005,Colin McRae Rally,Codemasters,"Codemasters, CD Projekt, 1C Company, Sold Out Software, Feral Interactive",2004-09-27
Colin McRae: DiRT,Colin McRae Rally,Codemasters,,2007-06-15
Colin McRae: DiRT 2,Colin McRae Rally,Codemasters,"Codemasters, Feral Interactive",2009-12-01
Colony Survival,,"Pipliz, Zun",,
Combat,,Magic Lantern Playware,Infogrames,2001-11-20
Combat Chess,,Minds Eye Productions,"Empire Interactive, Strategy First",1997-01-01
Combat Core,,MABManZ,,
Combat Mission 3: Afrika Korps,Combat Mission,Battlefront.com,"Cdv Software Entertainment, 1C Company, Snowball Studios",2003-11-28
Combat Mission Cold War,Combat Mission,Battlefront.com,Slitherine,2021-11-16
Combat Mission II: Barbarossa to Berlin,Combat Mission,Battlefront.com,"Cdv Software Entertainment, 1C Company",2002-09-20
Combat Mission: Beyond Overlord,Combat Mission,Battlefront.com,Cdv Software Entertainment,2000-06-14
Combat Mission: Shock Force 2,Combat Mission,Battlefront.com,Slitherine,2020-08-31
Combat: Task Force 121,,Zombie Studios,"City Interactive, Groove Games, 1C Company",2005-03-20
Command & Conquer,Command & Conquer,Westwood Studios,"Virgin Interactive, Electronic Arts",1995-09-26
Command & Conquer 3: Tiberium Wars,Command & Conquer,"EA Los Angeles, BreakAway Games",Electronic Arts,2007-03-28
Command & Conquer Remastered Collection,Command & Conquer,"Westwood Studios, Petroglyph Games, Lemon Sky Studios","Electronic Arts, Limited Run Games",2020-06-05
Command & Conquer: Generals,Command & Conquer,"EA Pacific, EA Los Angeles","Electronic Arts, Aspyr Media",2003-02-10
Command & Conquer: Red Alert,Command & Conquer,"Westwood Studios, Intelligent Games","Virgin Interactive, Electronic Arts, Sold Out Software",1996-11-22
Command & Conquer: Red Alert 2,Command & Conquer,Westwood Pacific,"Electronic Arts, Sold Out Software",2000-10-25
Command & Conquer: Red Alert 3,Command & Conquer,EA Los Angeles,Electronic Arts,2008-10-28
Command & Conquer: Renegade,Command & Conquer,Westwood Studios,"Electronic Arts, Sold Out Software",2002-02-26
Command & Conquer: Tiberian Sun,Command & Conquer,Westwood Studios,"Electronic Arts, Sold Out Software",1999-08-27
Command HQ,,Ozark Softscape,"MicroProse, Retroism, Night Dive Studios",1990-01-01
Commandos 2: Men of Courage,Commandos,Pyro Studios,"Eidos Interactive, Sold Out Software, Merge Games, Kalypso Media, Feral Interactive",2001-09-20
Commandos 3: Destination Berlin,Commandos,Pyro Studios,"Eidos Interactive, Sold Out Software, Merge Games, Kalypso Media, Feral Interactive",2003-10-14
Commandos: Behind Enemy Lines,Commandos,Pyro Studios,"Eidos Interactive, Sold Out Software, Merge Games, Kalypso Media",1998-08-28
Commandos: Beyond the Call of Duty,Commandos,Pyro Studios,"Eidos Interactive, Sold Out Software, Merge Games, Kalypso Media",1999-03-30
Commandos: Strike Force,Commandos,Pyro Studios,"Eidos Interactive, Noviy Disk, Sold Out Software, Merge Games",2006-03-15
Company of Heroes,Company of Heroes,Relic Entertainment,"THQ, Sega",2006-09-12
Conan,Conan the Barbarian,Cauldron,TDK Mediactive,2004-02-19
