Game Name,Series,Developer,Publisher,Date Published
Halo: The Master Chief Collection,Halo,"343 Industries, Bungie",Xbox Game Studios,2019-12-03
Hammer of the Gods,,Holistic Design,"New World Computing, Softgold Computerspiele, Holistic Design",1994-01-01
Hammerwatch,Hammerwatch,Crackshell,,2013-08-12
Hard Truck 2,Hard Truck,SoftLab-NSK,"1C Company, 1C Entertainment, Fulqrum Publishing, ValuSoft, JoWood Productions",2000-06-19
Hard-Life,Half-Life mods and fangames,"Fury_161, JonnyQuattro, Half Way Lambda",,
Hardwar,,"The Software Refinery, Jordan Freeman Group","Interplay Entertainment, Gremlin Interactive, Funbox Media, Jordan Freeman Group",1998-09-11
Hearts of Iron II,Hearts of Iron,Paradox Development Studio,Paradox Interactive,2005-01-04
Hearts of Iron III,Hearts of Iron,Paradox Development Studio,Paradox Interactive,2009-08-07
Hearts of Iron IV,Hearts of Iron,Paradox Development Studio,Paradox Interactive,2016-06-06
Heavy Gear,Heavy Gear,Activision,,1997-11-25
Heavy Gear II,Heavy Gear,Activision,Activision,1999-06-18
Hedgewars,,Hedgewars Team,,2019-10-09
Hellbender,Fury3,Terminal Reality,Microsoft,1996-10-03
Heretic,Heretic,Raven Software,"id Software, GT Interactive",1994-12-23
Heretic II,Heretic,Raven Software,Activision,1998-11-24
Heroes of Annihilated Empires,,GSC Game World,,2006-10-05
Heroes of Might and Magic II,Heroes of Might and Magic,"New World Computing, Cyberlore Studios","3DO, Ubisoft, Sold Out Software",1996-10-01
Heroes of Might and Magic III,Heroes of Might and Magic,New World Computing,"3DO, Ubisoft, Sold Out Software, Loki Software",1999-03-03
Heroes of Might and Magic IV,Heroes of Might and Magic,New World Computing,"3DO, Ubisoft, Sold Out Software",2002-03-28
Heroes of Might and Magic V,Heroes of Might and Magic,Nival Interactive,Ubisoft,2006-05-16
Heroes of Might and Magic V: Tribes of the East,Heroes of Might and Magic,Nival,Ubisoft,2007-10-16
Heroes of Might and Magic: A Strategic Quest,Heroes of Might and Magic,New World Computing,"3DO, Ubisoft",1995-09-23
Heroes of Newerth,,S2 Games,"S2 Games, Garena, Ntreev Soft",2010-05-12
Hexen II,Heretic,Raven Software,"id Software, MacPlay",1997-09-11
Hexen: Beyond Heretic,Heretic,Raven Software,id Software,1995-10-30
Hexplore,,Heliovisions Productions,"Ocean Software, Infogrames, I-Motion, Piko Interactive, Throwback Entertainment, Mirrorsoft",1998-01-01
Hi-Octane,,Bullfrog Productions,Electronic Arts,1995-01-01
Hidden & Dangerous,Hidden & Dangerous,Illusion Softworks,"TalonSoft, 2K Games",1999-07-29
Hidden & Dangerous 2,Hidden & Dangerous,Illusion Softworks,"Gathering of Developers, 2K Games",2003-10-21
Hidden & Dangerous Deluxe,Hidden & Dangerous,"Illusion Softworks, Lonely Cat Games",Take-Two Interactive,2003-03-30
High Impact Paintball,,Sunstorm Interactive,WizardWorks Group,2000-07-31
High Octane Drift,,Cruderocks,,2016-10-11
Highland Warriors,,Soft Enterprises,"Data Becker, NovaLogic, United Independent Entertainment",2003-01-20
Hind,,Digital Integration,"Interactive Magic, Digital Integration, iEntertainment Network",1996-01-01
HitBox,,"Tyler Rogers, David Colson","Wormhole Entertainment, Peripheral Labs",2017-01-30
Holdfast: Nations At War,,Anvil Game Studios,,2020-03-05
Homeworld,Homeworld,Relic Entertainment,"Sierra Entertainment, Gearbox Software, Aspyr Media",1999-09-28
Homeworld 2,Homeworld,Relic Entertainment,"Sierra Entertainment, Aspyr Media",2003-09-16
Homeworld 2 Remastered Edition,Homeworld,"Relic Entertainment, Gearbox Software, Blackbird Interactive","Gearbox Software, Aspyr Media",2015-02-25
Homeworld Remastered Edition,Homeworld,"Relic Entertainment, Gearbox Software, Blackbird Interactive","Gearbox Software, Aspyr Media",2015-02-25
Homeworld: Cataclysm,Homeworld,Barking Dog Studios,"Sierra Entertainment, Gearbox Software",2000-09-12
Hooligans: Storm Over Europe,,Darxabre,"Darxabre, Hip Games",2002-01-25
Hopeless Masquerade,Touhou Project,"Team Shanghai Alice, Twilight Frontier",Twilight Frontier,2013-05-26
Hot Wheels: Williams F1 - Team Racer,Hot Wheels,KnowWonder,THQ,2001-12-02
Hour of Victory,,N-Fusion Interactive,Midway Games,2007-06-01
Humankind,,Amplitude Studios,Sega,2021-08-17
Hunted: The Demon's Forge,,inXile Entertainment,Bethesda Softworks,2011-05-30
Hypercharge: Unboxed,,Digital Cybercherries,,2020-04-27
I.G.I.-2: Covert Strike,Project I.G.I.,Innerloop Studios,"Codemasters, Sold Out Software",2003-03-03
Icewind Dale,Icewind Dale,Black Isle Studios,"Interplay Entertainment, 1C Company, Atari, Beamdog, MacPlay",2000-06-29
Icewind Dale II,Icewind Dale,Black Isle Studios,"Interplay Entertainment, Atari, Hasbro",2002-08-27
Icewind Dale: Enhanced Edition,Icewind Dale,Overhaul Games,Beamdog,2014-10-30
Ignition,,Unique Development Studios,"Virgin Interactive, Interplay Entertainment",1997-01-01
IL-2 Sturmovik,IL-2 Sturmovik,1C: Maddox Games,Ubisoft,2001-11-18
IL-2 Sturmovik: 1946,IL-2 Sturmovik,1C: Maddox Games,Ubisoft,2006-12-15
IL-2 Sturmovik: Cliffs of Dover Blitz Edition,IL-2 Sturmovik,"Team Fusion Simulations, 1C: Maddox Games",1C Company,2017-12-14
Immaterial and Missing Power,Touhou Project,"Team Shanghai Alice, Twilight Frontier",Twilight Frontier,2004-12-30
Imperial Glory,,Pyro Studios,"Eidos Interactive, Sold-Out Software, Feral Interactive, Merge Games, Kalypso Media Digital",2005-05-15
Imperialism,Imperialism,Frog City Software,"Strategic Simulations Inc., Mindscape, Ubisoft",1997-08-31
Imperialism II: The Age of Exploration,Imperialism,Frog City Software,"Strategic Simulations Inc., Mindscape, Ubisoft",1999-04-01
Imperium Galactica II: Alliances,Imperium Galactica,Digital Reality,"GT Interactive, Infogrames, THQ Nordic",2000-04-19
Imperivm: Great Battles of Rome HD Edition,Imperivm,"Dinamic Games, Imperivm World",FX Interactive,2021-08-16
Impossible Creatures,,Relic Entertainment,"Microsoft Studios, Noviy Disk, Ubisoft, Nordic Games",2003-01-07
In Pursuit of Greed,,Mind Shear Software,Softdisk,1996-01-01
Incoming,Incoming,"Rage Software, Incensed Software Development","Rage Software, Instant Access International Ltd., Sold Out Software, Blue Moon Red Owl, Funbox Media, MacPlay",1998-03-23
Incoming Forces,Incoming,Rage Software,"Rage Software, Hip Games, Sold Out Software, Blue Moon Red Owl, Funbox Media",2002-02-28
Incubation: Time Is Running Out,Battle Isle,Blue Byte Software,"Blue Byte Software, Ubisoft",1997-09-01
Independence War 2: Edge of Chaos,Independence War,Particle Systems,"Infogrames, Atari",2001-06-28
Industry Giant 2,Industry Giant,"JoWood Ebensee, Fancy Bytes, Reactor","JoWood Productions, Toplitz Productions",2002-09-30
Insane,Insane,Invictus Games,"Codemasters, Sold Out Software",2000-11-24
Insurgency: Sandstorm,Insurgency,New World Interactive,Focus Home Interactive,2018-12-12
International Rally Championship,Rally Championship,Magnetic Fields,Europress Software,1997-01-01
Interplanetary,Interplanetary,Team Jolly Roger,,2015-05-12
Interstate '76,Interstate,Activision,"Activision, Brasoft",1997-03-26
Interstate '82,Interstate,Activision,,1999-11-22
Inversion,,Saber Interactive,Bandai Namco Entertainment,2012-06-08
Invictus: In the Shadow of Olympus,,Quicksilver Software,Interplay Entertainment,2000-01-31
Iron Front: Digital War Edition,,"X1 Software, AWAR",Deep Silver,2012-05-25
Iron Grip: Warlord,,ISOTX,,2008-12-05
Iron Storm,Iron Storm,4X Studio,"Wanadoo, DreamCatcher Interactive",2002-10-23
Jabroni Brawl: Episode 3,,Team Jabroni,,2022-11-11
Jagged Alliance: Deadly Games,Jagged Alliance,Sir-Tech,"Sir-Tech, Virgin Interactive, Strategy First, THQ Nordic",1996-01-01
James Bond 007: Blood Stone,James Bond 007,Bizarre Creations,Activision,2010-11-02
James Bond 007: Nightfire,James Bond 007,Gearbox Software,Electronic Arts,2002-11-28
Jane's Attack Squadron,Jane's Combat Simulations,"Looking Glass Studios, Mad Doc Software","Xicat Interactive, Global Software Publishing",2002-03-01
Jane's F-15,Jane's Combat Simulations,EA Baltimore,Electronic Arts,1998-03-30
Jane's F/A-18,Jane's Combat Simulations,EA Baltimore,Electronic Arts,2000-01-18
Jane's Fighters Anthology,Jane's Combat Simulations,Electronic Arts,,1997-05-01
Jane's Fleet Command,Jane's Combat Simulations,Sonalysts Combat Simulations,"Electronic Arts, Strategy First",1999-05-15
Jane's Israeli Air Force,Jane's Combat Simulations,Pixel Multimedia,Electronic Arts,1998-09-10
Jane's Longbow 2,Jane's Combat Simulations,Origin Systems,Electronic Arts,1997-11-13
Jane's US Navy Fighters '97,Jane's Combat Simulations,Electronic Arts,,1996-11-01
Jane's USAF,Jane's Combat Simulations,Pixel Multimedia,Electronic Arts,1999-10-19
Jane's WWII Fighters,Jane's Combat Simulations,Electronic Arts,,1998-11-23
Jazz Jackrabbit 2,Jazz Jackrabbit,"Orange Games, Epic Games","Gathering of Developers, MacPlay",1998-05-07
Jet Moto,,SingleTrac,Sony Interactive Studios America,1997-11-13
Joint Operations: Typhoon Rising,,NovaLogic,"NovaLogic, THQ Nordic",2004-06-15
Joint Task Force,,Most Wanted Entertainment,"HD Publishing, Sierra Entertainment",2006-09-12
Judge Dredd: Dredd vs. Death,Judge Dredd,Rebellion Developments,"Evolved Games, Sold Out Software, Rebellion Developments",2003-10-17
Juiced,Juiced,Juice Games,"THQ, Buka Entertainment",2005-06-13
Junk Jack,,PixBits,,2016-11-30
Just Cause 2,Just Cause,"Avalanche Studios, General Arcade","Square Enix, Noviy Disk",2010-03-23
Kane & Lynch 2: Dog Days,Kane & Lynch,"IO Interactive, General Arcade","Eidos Interactive, Square Enix",2010-08-17
Kick Off 98,Kick Off,Anco,"Ubisoft, Dinamic Multimedia, Funsoft",1997-12-01
Killing Floor,Killing Floor,Tripwire Interactive,Tripwire Interactive,2009-05-14
Killing Floor 2,Killing Floor,"Tripwire Interactive, Saber Interactive",Tripwire Interactive,2016-11-18
Kingdom Under Fire: A War of Heroes,Kingdom Under Fire,"Blueside, Phantagram","Gathering of Developers, Bloom Technology",2001-01-18
Kingpin: Life of Crime,Kingpin,Xatrix Entertainment,"Interplay Entertainment, Sold Out Software",1999-07-02
Kiss: Psycho Circus: The Nightmare Child,Kiss,Third Law Interactive,Gathering of Developers,2000-07-14
Knights and Merchants,,Joymania Entertainment,"Interactive Magic, TopWare Interactive, Linux Game Publishing",1998-09-18
Knights of Honor,Knights of Honor,Black Sea Studios,"Sunflowers Interactive Entertainment Software, Paradox Interactive",2004-09-30
Knights of the Temple II,Knights of the Temple,Cauldron,"Playlogic Entertainment, TDK Mediactive, TopWare Interactive",2005-11-24
KnightShift,Polanie,Reality Pump Studios,TopWare Interactive,2003-09-15
Knockout City,,Velan Studios,"Velan Studios, Electronic Arts",2021-05-21
Kohan II: Kings of War,Kohan,TimeGate Studios,"Global Star Software, Sold-Out Software",2004-09-21
Kohan: Immortal Sovereigns,Kohan,TimeGate Studios,"Strategy First, Ubi Soft",2001-03-15
Konung: Legends of the North,Konung,1C Company,"1C Company, 1C Entertainment, Fulqrum Publishing",1999-09-06
Krater,,Fatshark,,2012-06-12
Kreedz Climbing,,ObsessionSoft,,2017-06-15
Krush Kill 'N Destroy 2: Krossfire,Krush Kill 'N Destroy,Beam Software,"Melbourne House, Infogrames, GT Interactive, Atari, Ziggurat Interactive",1998-08-24
Krush Kill 'N Destroy Xtreme,Krush Kill 'N Destroy,Beam Software,"Electronic Arts, Atari, Ziggurat Interactive",1997-10-14
Land of the Dead: Road to Fiddler's Green,,Brainbox Games,Groove Games,2005-10-18
Laser Arena,,Trainwreck Studios,ValuSoft,2000-09-01
Last Bronx,,Sega AM3,Sega,1998-01-01
Last Rites,,Ocean Software,"Ocean Software, Classics Digital, Ziggurat Interactive",1997-01-01
Left 4 Dead 2,Left 4 Dead,Valve Corporation,"Valve Corporation, Akella",2009-11-19
Left Behind 3: Rise of the Antichrist,Left Behind,Inspired Media Entertainment,,2010-10-25
Left Behind 4: World at War,Left Behind,Inspired Media Entertainment,,2011-11-01
Left Behind: Eternal Forces,Left Behind,Inspired Media Entertainment,,2006-11-07
Left Behind: Tribulation Forces,Left Behind,Inspired Media Entertainment,,2007-04-01
Legendary,,Spark Unlimited,"Gamecock Media Group, Atari, SouthPeak Games",2008-11-18
Legends of Aethereus,,Three Gates,,2013-09-27
Legends of Might and Magic,Might and Magic,New World Computing,"3DO, Ubisoft",2001-06-20
Legends of Pegasus,,Novacore Studios,Kalypso Media,2012-08-10
Legio,,ICE Game Studios,"Paradox Interactive, Mezmer Games",2010-05-21
Legions: Overdrive,,GarageGames,InstantAction,2008-06-24
Lego Chess,Lego,Krisalis Software,Lego Media,1998-11-11
Lego Loco,Lego,Intelligent Games,Lego Media,1998-11-11
Lemmings Paintball,Lemmings,Visual Sciences,Psygnosis,1996-01-01
Line of Sight: Vietnam,,N-Fusion Interactive,"Infogrames, Atari, Retroism, Ziggurat Interactive",2003-03-05
Links LS: 1998 Edition,Links,Access Software,"Access Software, Eidos Interactive, Big Finish Games",1997-06-30
Lionheart: Legacy of the Crusader,,"Black Isle Studios, Reflexive Entertainment",Interplay Entertainment,2003-08-13
Live Wire!,,The Code Monkeys,SCi Games,1999-01-01
Lock On: Modern Air Combat,,Eagle Dynamics,"Ubisoft, 1C Company",2003-11-20
Lode Runner 2,Lode Runner,Presage Software,"GT Interactive, MacSoft",1998-10-02
Logic World,,Mouse Hat Games,,
London 2012,Summer Olympics,Sega Studios Australia,Sega,2012-06-26
Lords of EverQuest,EverQuest,Rapid Eye Entertainment,Sony Online Entertainment,2003-12-01
Lords of Magic,,Impressions Games,"Sierra On-Line, Rebellion Developments",1997-11-19
Lords of New York,,Lunchtime Studios,,
Lords of the Black Sun,,Arkavi Studios,Iceberg Interactive,2014-09-12
Lords of the Realm,Lords of the Realm,Impressions Games,"Impressions Games, Crucial Entertainment, Rebellion Developments",1994-01-01
Lords of the Realm II,Lords of the Realm,Impressions Games,"Sierra On-Line, Rebellion Developments",1996-10-01
Lords of the Realm III,Lords of the Realm,Impressions Games,"Sierra Entertainment, Rebellion Developments",2004-03-17
Lost Planet 2,Lost Planet,Capcom,,2010-10-12
Lost Planet: Extreme Condition,Lost Planet,Capcom,"Capcom, 1C Company",2007-06-26
Lost Planet: Extreme Condition Colonies Edition,Lost Planet,Capcom,,2008-05-27
Lucifer's Nine Trophies,,Pig's Indie Games,,
M.A.X.: Mechanized Assault and Exploration,M.A.X.,Interplay Entertainment,,1996-01-01
M.A.X.: Mechanized Assault and Exploration 2,M.A.X.,FlatCat,Interplay Entertainment,1998-06-26
M1 Tank Platoon II,M1 Tank Platoon,MicroProse,"MicroProse, Interplay Entertainment",1998-03-24
Mad Games Tycoon 2,Mad Tycoon,Eggcode,,
Mad Riders,,Techland,Ubisoft,2012-05-30
Madden NFL 08,Madden NFL,EA Salt Lake,EA Sports,2007-08-14
MadSpace: To Hell and Beyond,,Maddox Games,"Auric Vision, Night Dive Studios",1997-01-01
Maelstrom: The Battle for Earth Begins,,KD VISION,"Codemasters, 1C-SoftClub",2007-02-02
Magic & Mayhem,Magic & Mayhem,Mythos Games,"Bethesda Softworks, Virgin Interactive",1998-11-01
Magic Carpet,Magic Carpet,Bullfrog Productions,Electronic Arts,1994-10-01
Magic Carpet 2: The Netherworlds,Magic Carpet,Bullfrog Productions,Electronic Arts,1995-09-08
Magicka,Magicka,Arrowhead Game Studios,Paradox Interactive,2011-01-25
Majesty 2: The Fantasy Kingdom Sim,Majesty: The Fantasy Kingdom Sim,Ino-Co,Paradox Interactive,2009-09-17
Majesty: The Fantasy Kingdom Sim,Majesty: The Fantasy Kingdom Sim,Cyberlore Studios,"MicroProse, Hasbro Interactive, Infogrames, Atari, Paradox Interactive, MacPlay, Linux Game Publishing",2000-03-21
Mall Maniacs,,Unique Development Studios,AddGames Advertainment,1999-01-01
Manx TT Super Bike,,Sega AM3,Sega,1997-12-05
Marathon,Marathon,Bungie Software,Bungie Software,1994-12-21
Marathon 2: Durandal,Marathon,Bungie Software,Bungie Software,1995-11-24
Marathon Infinity,Marathon,Bungie Software,Bungie Software,1996-10-15
Master Arena,,Powered Games Entertainment,,
Master of Orion II: Battle at Antares,Master of Orion,Simtex,"MicroProse, Infogrames, Atari, Wargaming.net, MacSoft",1996-11-22
Master of Orion III,Master of Orion,Quicksilver Software,"Infogrames, Atari, Wargaming.net, MacSoft",2003-02-25
Master Rallye,,Steel Monkeys,Microïds,2001-12-14
Mat Hoffman's Pro BMX,,Shaba Games,Activision,2001-09-28
Max Gentlemen,Max Gentlemen,The Men Who Wear Many Hats,,2014-08-21
MechCommander 2,MechCommander,FASA Interactive,Microsoft,2001-07-17
MechWarrior 2: 31st Century Combat,MechWarrior,Activision,,1995-07-24
MechWarrior 2: Mercenaries,MechWarrior,Activision,,1996-09-01
MechWarrior 3,MechWarrior,Zipper Interactive,"MicroProse, Hasbro Interactive",1999-06-01
MechWarrior 4: Mercenaries,MechWarrior,"Cyberlore Studios, FASA Interactive","Microsoft Game Studios, Ubisoft, Atari, MekTek Studios",2002-11-07
MechWarrior 4: Vengeance,MechWarrior,"FASA Interactive, Cyberlore Studios","Microsoft, Ubisoft, Atari",2000-11-23
MechWarrior: Living Legends,MechWarrior,Wandering Samurai Studios,,2009-12-26
Medal of Honor: Allied Assault,Medal of Honor,"2015 Inc., EA Los Angeles, TKO Software","Electronic Arts, Sold Out Software, Aspyr Media, Aspyr Media",2002-01-22
Medal of Honor: Pacific Assault,Medal of Honor,"EA Los Angeles, TKO Software",Electronic Arts,2004-11-04
Medieval Engineers,,Keen Software House,,2020-03-17
Medieval II: Total War,Total War,"Creative Assembly, Creative Assembly International","Sega, Feral Interactive",2006-11-11
Medieval: Total War,Total War,Creative Assembly,"Activision, Sega",2002-08-20
MegaRace 3,MegaRace,"Cryo Interactive, Jordan Freeman Group","Wanadoo Edition, DreamCatcher Interactive, 1C Company, Microïds",2001-11-14
Melty Blood Actress Again Current Code,Tsukihime,"Type-Moon, French-Bread, Ecole Software",Arc System Works,2011-12-31
Men of Valor,,2015 Inc.,"Vivendi Universal Games, Sierra Entertainment, 1C-SoftClub, Nordic Games",2004-10-29
Men of War,Men of War,"Best Way, Digitalmindsoft","1C Company, 1C Entertainment, Fulqrum Publishing",2009-03-10
Men of War: Assault Squad,Men of War,Digitalmindsoft,"1C Company, 1C Entertainment, Fulqrum Publishing",2011-02-25
Men of War: Assault Squad 2,Men of War,Digitalmindsoft,"1C Company, 1C Entertainment, Fulqrum Publishing",2014-05-15
Men of War: Condemned Heroes,Men of War,"1C Company, 1C-SoftClub, Best Way","1C Company, 1C Entertainment, Fulqrum Publishing",2012-04-12
Men of War: Vietnam,Men of War,"1C Company, Best Way, N-Game Studios, PIPE studio","1C Company, 1C Entertainment, Fulqrum Publishing",2011-09-09
Mercedes-Benz Truck Racing,,Synetic,THQ,2000-01-01
Mercedes-Benz World Racing,World Racing,Synetic,TDK Mediactive,2003-09-15
Metal Fatigue,,Zono,"Psygnosis, Take-Two Interactive, TalonSoft, Nightdive Studios",2000-05-18
Metal Marines,,"Mindscape, Namco",Mindscape,1994-01-01
Metal Slug X,Metal Slug,SNK Corporation,SNK Corporation,2014-10-02
Meteor,Meteor,JBPlay,,1999-03-06
Meteor 2,Meteor,JBPlay,,2004-09-06
Michelin Rally Masters: Race of Champions,,DICE,Infogrames,2000-07-25
Microsoft Combat Flight Simulator 2: WW II Pacific Theater,Microsoft Combat Flight Simulator,ACES Game Studio,"Microsoft, Ubisoft",2000-10-13
Microsoft Combat Flight Simulator 3: Battle for Europe,Microsoft Combat Flight Simulator,ACES Game Studio,"Microsoft Game Studios, Ubisoft",2002-10-24
Microsoft Combat Flight Simulator: WWII Europe Series,Microsoft Combat Flight Simulator,Microsoft,Ubisoft,1998-11-05
Microsoft Flight Simulator 2004: A Century of Flight,Microsoft Flight Simulator,ACES Game Studio,Microsoft Game Studios,2003-07-29
Microsoft Flight Simulator X,Microsoft Flight Simulator,"ACES Game Studio, Dovetail Games",Microsoft Game Studios,2006-10-17
Microsoft Golf 3.0,Links,Access Software,Microsoft,1996-11-07
Microsoft Soccer,Microsoft Soccer,Lobotomy Software,Microsoft,1996-11-07
Midnight Club II,,Rockstar San Diego,Rockstar Games,2003-06-30
Midtown Madness,Midtown Madness,Angel Studios,Microsoft,1999-05-27
Midtown Madness 2,Midtown Madness,Angel Studios,Microsoft,2000-09-22
MiG-29 Fulcrum (1998),,NovaLogic,"NovaLogic, THQ Nordic",1998-10-08
Might & Magic Heroes VII,Heroes of Might and Magic,Limbic Entertainment,Ubisoft,2015-09-29
Might & Magic Heroes VII: Trial by Fire,Heroes of Might and Magic,Limbic Entertainment,Ubisoft,2016-08-04
Mindustry,,AnukenDev,,2019-09-26
Minecraft: Bedrock Edition,Minecraft,Mojang,Microsoft Studios,2016-12-19
Minecraft: Java Edition,Minecraft,Mojang,,2011-11-18
Minecraft: Pi Edition,Minecraft,Mojang,,2013-02-11
Minetest,,"Perttu ""celeron55"" Ahola and contributors",,2012-12-06
Mirage: Arcane Warfare,Chivalry,Torn Banner Studios,,2017-05-23
MissionForce: CyberStorm,CyberStorm,Dynamix,"Sierra On-Line, Activision",1996-05-01
Mobil 1 Rally Championship,Rally Championship,"Magnetic Fields, Creative Asylum","Actualize, Ubisoft",1999-11-19
Mobile Forces,,Rage Software,"Majesco, Sold Out Software",2002-05-31
Monaco Grand Prix Racing Simulation 2,Racing Simulation,Ubisoft,,1998-10-01
Monaco: What's Yours Is Mine,,Pocketwatch Games,,2013-04-24
Monday Night Combat,Monday Night Combat,Uber Entertainment,,2011-01-24
Monopoly (1995),Monopoly,Westwood Studios,Hasbro Interactive,1995-09-30
Monopoly Tycoon,Monopoly,Deep Red Games,Infogrames,2001-09-21
Monster Truck Fury,,Iridon Interactive,"ValuSoft, Akella, Nordic Softsales",2001-10-01
Monster Truck Madness,Monster Truck Madness,Terminal Reality,Microsoft,1996-10-03
Monster Truck Madness 2,Monster Truck Madness,Terminal Reality,Microsoft,1998-05-12
Moonbase Alpha,,"Army Game Studio, Virtual Heroes",NASA,2010-07-06
Moonbase Commander,,Humongous Entertainment,"Infogrames, Rebellion Developments",2002-08-13
Mordhau,,Triternion,,2019-04-29
Mordheim: City of the Damned,Warhammer,Rogue Factor,Focus Home Interactive,2015-11-19
Mortal Kombat 3,Mortal Kombat,Midway Games,"GT Interactive, Warner Bros. Interactive Entertainment",1995-01-01
Mortal Kombat Trilogy,Mortal Kombat,Midway Games,"GT Interactive, Warner Bros. Interactive Entertainment",1997-08-01
Mortyr 2: For Ever,Mortyr,Mirage Interactive,"Just Flight, Redback Sales, Hip Games, Russobit-M",2004-10-22
Mortyr 2093 - 1944,Mortyr,Mirage Interactive,Interplay Entertainment,1999-08-30
Moto Racer,Moto Racer,Delphine Software International,"Electronic Arts, Nobilis, Microids",1997-08-01
Moto Racer 2,Moto Racer,Delphine Software International,"Electronic Arts, Nobilis, Microids",1998-11-01
Moto Racer 3,Moto Racer,Delphine Software International,"Electronic Arts, Infogrames, Nobilis, Microids",2001-12-07
Motocross Madness,Motocross Madness,Rainbow Studios,Microsoft,1998-08-14
Motocross Madness 2,Motocross Madness,Rainbow Studios,Microsoft,Error: Too many #time calls.
MotoGP 2,MotoGP,Climax Brighton,THQ,2003-06-20
MotoGP: Ultimate Racing Technology,MotoGP,Climax Brighton,THQ,2002-05-01
Motor Rock,,Yard Team,,2013-12-16
Motorhead,Motorhead,DICE,"Gremlin Interactive, Fox Interactive",1998-10-01
Mount & Blade: Warband,Mount & Blade,TaleWorlds Entertainment,Paradox Interactive,2010-03-30
Mount & Blade: With Fire & Sword,Mount & Blade,"SiCh Studio, TaleWorlds Entertainment","1C Company, Snowball Studio, Paradox Interactive, TaleWorlds Entertainment",2009-12-04
Move or Die,,Those Awesome Guys,,2016-01-21
Multibombers,,Pig's Indie Games,,
Multiwinia,Darwinia,Introversion Software,,2008-09-18
Murderous Pursuits,,Blazing Griffin,,2018-04-26
Mutant Ops,,"Jacob Navarro, Andrew Isaias, Aaron Sovann",Warhog Games,2020-12-26
MX Bikes,,PiBoSo,,
MX vs. ATV Unleashed,MX vs. ATV,Rainbow Studios,"THQ, THQ Nordic",2006-01-16
Myth II: Soulblighter,Myth,"Bungie, Take-Two Interactive","Bungie, GT Interactive",1998-12-28
Myth: The Fallen Lords,Myth,Bungie,"Bungie, Eidos Interactive",1997-11-14
Nail'd,,Techland,"Deep Silver, Noviy Disk",2010-11-30
NAM,,TNT Team,"GT Interactive, Retroism, Night Dive Studios, Ziggurat Interactive",1998-07-28
Nanoui,,Phoesion,,2018-03-16
Napoleon: Total War,Total War,Creative Assembly,"Sega, Feral Interactive",2010-02-23
NASCAR '15,NASCAR,Eutechnyx,Dusenberry Martin Racing,2015-05-22
NASCAR Heat,NASCAR Heat,Monster Games,Hasbro Interactive,2000-08-23
NASCAR Racing,NASCAR Racing,Papyrus Design Group,"Sierra On-Line, Virgin Interactive, Pioneer Corporation",1994-01-01
NASCAR Racing 2003 Season,NASCAR Racing,Papyrus Design Group,Sierra Entertainment,2003-02-13
NASCAR Thunder 2004,NASCAR,Image Space Incorporated,Electronic Arts,2003-09-16
Natural Selection,Natural Selection,Unknown Worlds Entertainment,,2002-10-31
Naval War: Arctic Circle,,Turbo Tape Games,Paradox Interactive,2012-04-10
NBA Live 08,NBA Live,"EA Canada, HB Studios",EA Sports,2007-11-01
NBA Live 2000,NBA Live,EA Canada,EA Sports,1999-11-17
NCAA Football 99,NCAA Football,EA Tiburon,EA Sports,1998-01-01
Necesse,,Mads Skovgaard,,
NecroVisioN,NecroVisioN,The Farm 51,"1C Company, 1C Entertainment, Fulqrum Publishing, 505 Games, Aspyr Media",2009-02-27
NecroVisioN: Lost Company,NecroVisioN,The Farm 51,"1C Company, 1C Entertainment, Fulqrum Publishing, 505 Games, Aspyr Media",2010-02-19
Need for Speed II,Need for Speed,"EA Canada, EA Seattle",Electronic Arts,1997-04-30
Need for Speed III: Hot Pursuit,"Need for Speed: Hot Pursuit, Need for Speed","EA Canada, EA Seattle","Electronic Arts, Sold Out Software",1998-09-30
Need for Speed: High Stakes,Need for Speed,"EA Canada, EA Seattle","Electronic Arts, Sold Out Software",1999-06-20
Need for Speed: Hot Pursuit 2,"Need for Speed: Hot Pursuit, Need for Speed",EA Canada,Electronic Arts,2002-10-21
Need for Speed: Most Wanted,"Need for Speed: Most Wanted, Need for Speed",EA Black Box,"Electronic Arts, 1C-SoftClub",2005-11-15
Need for Speed: Porsche Unleashed,Need for Speed,EA Canada,Electronic Arts,2000-03-28
Need for Speed: ProStreet,Need for Speed,EA Black Box,"Electronic Arts, 1C-SoftClub",2007-11-13
Need for Speed: Shift,"Need for Speed: Shift, Need for Speed",Slightly Mad Studios,Electronic Arts,2009-09-15
Need for Speed: Underground 2,"Need for Speed: Underground, Need for Speed",EA Black Box,Electronic Arts,2004-11-09
NeoTokyo,,STUDIO RADI-8,,2009-07-03
Nerf ArenaBlast,Nerf,Visionary Media,Hasbro Interactive,1999-11-01
Nerves of Steel,,"Rainmaker Software, BnB Software",Merit Software,1995-01-01
NetStorm - Islands At War,,Titanic Entertainment,Activision,1997-11-01
Network Q RAC Rally Championship,Rally Championship,Magnetic Fields,Europress Software,1996-10-31
Neverwinter Nights,Neverwinter Nights,"BioWare, Floodgate Entertainment","Infogrames, Atari, Beamdog, MacSoft, Sega, Sold Out Software",2002-06-18
Neverwinter Nights 2,Neverwinter Nights,"Obsidian Entertainment, Ossian Studios","Atari, Hasbro",2006-10-31
